,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'the-washington-post', 'name': 'The Washington Post'}","Josh Dawsey, Felicia Sonmez","RNC votes to condemn Cheney, Kinzinger for serving on House committee investigating Jan. 6 attack on the Capitol by pro-Trump mob - The Washington Post","In addition to Friday’s formal censure at the party’s winter meeting in Salt Lake City, the RNC also made plans to fund a primary challenge against Rep. Liz Cheney in Wyoming.",https://www.washingtonpost.com/nation/2022/02/03/rnc-cheney-trump/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/4C2PE2BSQAI6ZABWPWZFLP7ROY.jpg&w=1440,2022-02-04T18:38:17Z,"In addition to Fridays formal censure at the partys winter meeting in Salt Lake City, the RNC also made plans to fund a primary challenge against Cheney in Wyoming after Republican leaders passed a s… [+8656 chars]"
1,"{'id': None, 'name': 'New York Times'}",Emily Anthes,"Covid-19, Vaccine and Testing News: Live Updates - The New York Times","Consistently wearing N95s or their counterparts protects the wearer, the data show. Austria becomes the first Western democracy to broadly require Covid vaccinations.",https://www.nytimes.com/live/2022/02/04/world/covid-test-vaccine-cases,https://static01.nyt.com/images/2022/02/04/multimedia/04virus-briefing-masks-PROMO230PM/04virus-briefing-masks-facebookJumbo.jpg,2022-02-04T18:36:39Z,"Donald Kauerauf, Missouris top health official, during his Senate confirmation hearing on Monday.Credit...Jeanne Kuang/The Kansas City Star, via Associated Press
Missouris top health official, a Rep… [+4301 chars]"
2,"{'id': None, 'name': 'Minneapolis Star Tribune'}","Liz Sawyer, Libor Jany, Paul Walsh",Minneapolis police insisted on 'no knock' warrant that led to Amir Locke's shooting death - Minneapolis Star Tribune,Officers were at the downtown Minneapolis apartment unit to serve a search warrant in connection with a St. Paul homicide investigation. Locke was not the subject of the warrant.,https://www.startribune.com/freeman-ellison-to-partner-in-review-of-amir-locke-fatal-shooting-by-minneapolis-police-officer/600143065/,https://chorus.stimg.co/23217100/1door.jpg?h=630&w=1200&fit=crop&bg=999&crop=faces,2022-02-04T17:48:45Z,"St. Paul police applied for a standard search warrant for the predawn raid in downtown Minneapolis that ended in the shooting death of Amir Locke, but were overruled by Minneapolis police, who wanted… [+10038 chars]"
3,"{'id': 'the-washington-post', 'name': 'The Washington Post'}","Matthew Cappucci, Jason Samenow","Winter storm brings ice, snow, power outages and flight cancellations - The Washington Post",A thick glaze of ice has left thousands in the dark from Texas to New York state.,https://www.washingtonpost.com/weather/2022/02/04/northeast-storm-ice-power-outages/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/R5OZESUFIAI6ZFI4DYGMG4R6KM.jpg&w=1440,2022-02-04T17:36:27Z,"On Friday, the freezing rain was causing new power outages in the Northeast and treacherous roads from the Hudson Valley to Massachusetts.
Frigid air and subzero wind chills have followed in the sto… [+6926 chars]"
4,"{'id': 'cnn', 'name': 'CNN'}","Lisa Respers France, CNN",Kim Kardashian calls out Kanye West's 'obsession with trying to control and manipulate our situation' - CNN,"In a rare public rebuke,Kim Kardashian has pushed back on estranged husband Kanye West's posting about their daughter North being on TikTok.",https://www.cnn.com/2022/02/04/entertainment/kim-kardashian-kanye-west-north-cec/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210604141344-kim-kanye-divorce-cnne-super-tease.jpg,2022-02-04T17:36:00Z,
5,"{'id': 'associated-press', 'name': 'Associated Press'}",Ken Sweet,COVID falling in 49 of 50 states as deaths near 900000 - Associated Press,"With the brutal omicron wave rapidly loosening its grip, new cases of COVID-19 in the U.S. are falling in 49 of 50 states, even as the nation's death toll closes in on another bleak round number: 900,000.",https://apnews.com/76dc452fb7263612529e09eb23bc0f24,https://storage.googleapis.com/afs-prod/media/46aa4f22c26d4418bed9c615e31c79ce/3000.jpeg,2022-02-04T17:32:21Z,"With the brutal omicron wave rapidly loosening its grip, new cases of COVID-19 in the U.S. are falling in 49 of 50 states, even as the nations death toll closes in on another bleak round number: 900,… [+2821 chars]"
6,"{'id': 'cnn', 'name': 'CNN'}","Jack Bantock and Coy Wire, CNN",Nathan Chen: Balancing act of Yale student and Olympic figure skating favorite - CNN,"At just 10 years old, Nathan Chen predicted in a national TV interview that he would make the 2018 US Winter Olympic figure skating team.",https://www.cnn.com/2022/02/04/sport/nathan-chen-beijing-olympics-yale-spt-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220203121808-02-nathan-chen-beijing-olympics-yale-spt-intl-super-tease.jpg,2022-02-04T17:09:00Z,
7,"{'id': 'cnn', 'name': 'CNN'}",Sean Lyngaas,Suspected Chinese hackers hit News Corp with 'persistent cyberattack' in January - CNN,"News Corp suffered a ""persistent cyberattack"" in January, the company said Friday, and investigators believe Chinese spies may be responsible.",https://www.cnn.com/2022/02/04/tech/news-corp-chinese-hackers/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220118104928-news-corp-file-restricted-super-tease.jpg,2022-02-04T16:58:00Z,"New York (CNN Business)News Corp suffered a ""persistent cyberattack"" in January, the company said Friday, and investigators believe Chinese spies may be responsible.
The media conglomerate, whose pu… [+879 chars]"
8,"{'id': None, 'name': 'Daily Beast'}",Neel V. Patel,New NASA Chandra X-Ray Photos Hint at Future Astronomy Through James Webb Telescope and More - The Daily Beast,It’s just a taste of the kind of regular eye-candy we can expect later this decade.,https://www.thedailybeast.com/new-nasa-chandra-x-ray-photos-hint-at-future-astronomy-through-james-webb-telescope-and-more,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_2025,w_3600,x_0,y_966/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1643992667/archives_casa_wuutar",2022-02-04T16:51:38Z,NASA just released a new gallery of images that meld X-ray data from the Chandra X-Ray Observatory with other observations made by instruments like the Hubble Space Telescope. The result is a slew of… [+2566 chars]
9,"{'id': None, 'name': 'The-sun.com'}",Katie Davis,"How China is using Winter Olympics to whitewash regime’s execution vans, concentration camps, black jails &... - The US Sun",,https://www.the-sun.com/news/4614277/china-winter-olympics-torture-executions-human-rights/,https://www.the-sun.com/wp-content/uploads/sites/6/2020/09/NINTCHDBPICT000672481093.jpg?strip=all&quality=100&w=1200&h=800&crop=1,2022-02-04T16:48:00Z,"CHINA has been accused of using the Winter Olympics to try to ""whitewash"" the regime's disturbing record of torture and executions.
The world's eyes have descended on Beijing as the glitzy opening c… [+7238 chars]"
