,source,author,title,description,url,urlToImage,publishedAt,content,keyword,article_sentiment,article_confidence,sentiment,confidence
0,New York Times,Annie Karni,"Clyburn Pushes Childs for Supreme Court, Testing Sway With Biden",The highest-ranking Black member of Congress is credited with helping resurrect the president’s 2020 campaign at a critical point. Now he is calling in a favor.,https://www.nytimes.com/2022/02/03/us/politics/michelle-childs-clyburn-supreme-court.html,https://static01.nyt.com/images/2022/02/03/us/politics/03dc-clyburn-1/03dc-clyburn-1-facebookJumbo.jpg,2022-02-03T21:58:17Z,"I decided that Joe Biden needed to do something that would demonstrate a high level of respect for Black women, he said. What higher level of respect can there be?
Biden campaign aides recall things… [+1389 chars]",Helping,,,POSITIVE,0.9921087622642517
1,Gizmodo.com,Justin Carter,M. Night Shyamalan Thanks Blade Runner 2049 for Helping Him Discover Dave Bautista,"Guardians of the Galaxy is typically credited with Dave Bautista’s rise to cinematic stardom, but his short turn in Blade Runner 2049 is what drew attention to the actor’s dramatic chops. Thanks to 2049 (and its short film Nowhere to Run), Bautista’s since go…",https://gizmodo.com/m-night-shyamalan-thanks-blade-runner-2049-for-helping-1848446104,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/48ada0f76d5ddaf6cc7e4d4172bb8118.jpg",2022-01-29T17:45:00Z,"Guardians of the Galaxyis typically credited with Dave Bautistas rise to cinematic stardom, but his short turn in Blade Runner 2049 is what drew attention to the actors dramatic chops. Thanks to 2049… [+1641 chars]",Helping,,,POSITIVE,0.9973198771476746
2,New York Times,Andy Newman,"How $1,000 a Month in Guaranteed Income Is Helping N.Y.C Mothers","A new, privately funded program offers families in poverty a steady stream of cash.",https://www.nytimes.com/2022/01/18/nyregion/guaranteed-income-nyc-bridge-project.html,https://static01.nyt.com/images/2022/01/17/nyregion/00guaranteedinco/00guaranteedinco-facebookJumbo.jpg,2022-01-18T16:15:31Z,"The Bridge Project sprang from Nido de Esperanza, a nonprofit that helps low-income mothers in Washington Heights, and was founded by Holly Fogle, the wife of a venture capitalist, Jeff Lieberman. Th… [+1434 chars]",Helping,,,POSITIVE,0.9288116693496704
3,New York Times,Stanley Reed,What Happens if Russia Cuts Off Europe’s Natural Gas?,Europe is a huge customer of Russia’s fossil fuels. Gas from the U.S. and elsewhere is helping offset fears of a midwinter cutoff.,https://www.nytimes.com/2022/01/25/business/energy-environment/russia-europe-natural-gas-ukraine.html,https://static01.nyt.com/images/2022/01/25/business/00energythreat-02/00energythreat-02-facebookJumbo.jpg,2022-01-25T22:24:32Z,"But while storage levels remain low and prices are high, Europe has not run out of the fuel.
Market forces are working, if belatedly. An armada of giant ships has been bringing cargoes of liquefied … [+1751 chars]",Helping,,,POSITIVE,0.9960273504257202
4,New York Times,,‘I Asked a Woman on the Platform if She Had Any Tissues’,"Helping hands in the subway, a tug of war on the Upper East Side and more reader tales of New York City in this week’s Metropolitan Diary.",https://www.nytimes.com/2022/01/23/nyregion/metropolitan-diary.html,https://static01.nyt.com/images/2022/01/23/nyregion/23diary-illos/23diary-illos-facebookJumbo.jpg,2022-01-23T08:00:07Z,"Another woman called out to me.
I overheard that you lived here, she said. When was that?
Nineteen thirty-eight, I said, but only for a short time.
The woman said that she had been living there si… [+668 chars]",Helping,,,POSITIVE,0.9819467663764954
5,Gizmodo.com,Molly Taft,Super Bowl Will See Heat Wave as Wildfires Dot Los Angeles,"This year’s Super Bowl in Los Angeles could see record-setting temperatures in the middle of winter. The heat wave is helping fires to spark in the region, even in the usually fire-free winter months.Read more...",https://gizmodo.com/super-bowl-2022-heat-wave-1848524367,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c12e9b01cb17b88b5c8e4d120c084451.jpg",2022-02-11T20:32:34Z,"This years Super Bowl in Los Angeles could see record-setting temperatures in the middle of winter. The heat wave is helping fires to spark in the region, even in the usually fire-free winter months.… [+2816 chars]",Helping,,,POSITIVE,0.9933837056159973
6,BBC News,,'Rolling back the years' - how new training camp is helping 'focused' Khan back to his best,BBC Sport talks to Amir Khan's new coach Brian 'Bomac' McIntyre after the British fighter relocated to Nebraska to train for his bout against Kell Brook,https://www.bbc.co.uk/sport/boxing/60187666,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/156B7/production/_123053778_gettyimages-1156937540.jpg,2022-02-12T06:15:12Z,"Amir Khan relocated to Nebraska to prepare for his long-awaited fight with Kell Brook
Amir Khan is well known for flitting between trainers during his career, but teaming up with the man who masterm… [+4933 chars]",Helping,,,POSITIVE,0.9714425802230835
7,New York Times,Matthew Futterman,Jessie Diggins Wants to Share Her Gold-Medal Feeling,"When Jessie Diggins crossed the finish line first in Pyeongchang, she showed a new generation of skiers what was possible. Four years later, she’s helping them chase the same feeling.",https://www.nytimes.com/2022/02/04/sports/jessie-diggins-cross-country-skiathlon.html,https://static01.nyt.com/images/2022/02/04/sports/04oly-xcountry-diggins/04oly-xcountry-diggins-facebookJumbo.jpg,2022-02-05T01:31:40Z,"Jessie has always said that Olympic medal belongs to everyone, said Bolger, a 28-year-old sprint specialist who has been on the national team the past three years.
No one pays closer attention to Di… [+1427 chars]",Helping,,,POSITIVE,0.9984045624732971
8,Gizmodo.com,James Whitbrook,Hideaki Anno's Hero Movies Are Crossing Over for... Something,"When he’s not been busy trying to wrangle a definitive new ending for Neon Genesis Evangelion this past decade, legendary director Hideaki Anno has been off living his nerd dreams, helping bring to life cinematic takes on Godzilla, Ultraman, and now even Kame…",https://gizmodo.com/hideaki-anno-godzilla-ultraman-kamen-rider-evangelion-c-1848533602,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/59f74cd729b9028022ec7c10f8962647.png",2022-02-14T17:00:00Z,"When hes not been busy trying to wrangle a definitive new ending forNeon Genesis Evangelion this past decade, legendary director Hideaki Anno has been off living his nerd dreams, helping bring to lif… [+1769 chars]",Helping,,,POSITIVE,0.999249279499054
9,Reuters,,Musk's SpaceX working to restore Tonga's internet - Fiji official - Reuters,"Elon Musk's satellite internet venture is helping to restore connectivity to the Pacific Island nation of Tonga, according to an official in Fiji where the work is underway.",https://www.reuters.com/technology/musks-spacex-working-restore-tongas-internet-fiji-official-2022-02-07/,https://www.reuters.com/resizer/rzp6I14SfNu25ZxlkZsbBX-C0Ks=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/CDVT2OAVHFLF7NTUPU3SHTTZMA.jpg,2022-02-07T05:04:00Z,"SINGAPORE, Feb 7 (Reuters) - Elon Musk's satellite internet venture is helping to restore connectivity to the Pacific Island nation of Tonga, according to an official in Fiji where the work is underw… [+1768 chars]",Helping,,,POSITIVE,0.9879040122032166
10,The Guardian,Patrick Butler Social policy editor,How northern food clubs are helping stretch budgets in cost of living crisis,"Exclusive: ‘We are bridging the gap between crisis food and supermarkets,’ says founder of the Bread and Butter Thing“Lidl eat your heart out!” laughs a member of the Bread and Butter Thing, as he makes his way out down the path, a box of frozen steak and kid…",https://amp.theguardian.com/uk-news/2022/jan/20/bread-and-butter-thing-food-club-manchester-cost-of-living-crisis,https://i.guim.co.uk/img/media/784cd1cd368afd818210304504ba1cf03b8661e4/0_74_8192_4915/master/8192.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=c8fde522a750061d02fd40efccde7085,2022-01-20T20:06:28Z,"Lidl eat your heart out! laughs a member of the Bread and Butter Thing, as he makes his way out down the path, a box of frozen steak and kidney pies balancing on his lap, and bulging carrier bags of … [+6900 chars]",Helping,,,POSITIVE,0.9024991989135742
11,The Guardian,Polly Toynbee,Sunak’s energy rebates won’t even come close to helping people with soaring bills | Polly Toynbee,"A financial shock is about to hit a country already battered and bruised by years of austerityThis may destroy them, a cost of living explosion such as few have known in their lifetimes. The £350 of support for most households, announced today by Rishi Sunak,…",https://amp.theguardian.com/commentisfree/2022/feb/03/sunak-energy-rebates-bills-austerity,https://i.guim.co.uk/img/media/fd62fcc27582bd5bfcef751aafadb98ede39453d/0_25_3500_2099/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=77b615d7728c3956fcc18977cc0503d5,2022-02-03T17:50:04Z,"This may destroy them, a cost of living explosion such as few have known in their lifetimes. The £350 of support for most households, announced today by Rishi Sunak, the chancellor amounts to only a … [+5279 chars]",Helping,,,POSITIVE,0.9077440500259399
